ID	LICENSE ID	ACCOUNT NUMBER	SITE NUMBER	LEGAL NAME	DOING BUSINESS AS NAME	ADDRESS	CITY	STATE	ZIP CODE	WARD	PRECINCT	WARD PRECINCT	POLICE DISTRICT	LICENSE CODE	LICENSE DESCRIPTION	BUSINESS ACTIVITY ID	BUSINESS ACTIVITY	LICENSE NUMBER	APPLICATION TYPE	APPLICATION CREATED DATE	APPLICATION REQUIREMENTS COMPLETE	PAYMENT DATE	CONDITIONAL APPROVAL	LICENSE TERM START DATE	LICENSE TERM EXPIRATION DATE	LICENSE APPROVED FOR ISSUANCE	DATE ISSUED	LICENSE STATUS	LICENSE STATUS CHANGE DATE	SSA	LATITUDE	LONGITUDE	LOCATION
74790-20070216	1783490	65199	1	GUL FOODS INC	DUNKIN DONUTS / BASKIN ROBBINS	4045 W LAWRENCE AVE 1ST	CHICAGO	IL	60630	39	21	39-21	17	1006	Retail Food Establishment	775	Retail Sales of Perishable Foods	74790	RENEW		12/20/2006	01/06/2007	N	02/16/2007	03/15/2009	01/06/2007	01/08/2007	AAI			41.968111787	-87.729867883	(41.96811178658088, -87.72986788251535)
22949-20111116	2116957	64073	1	DE JURS ENTERPRISES INC	DUNKINS DONUTS BASKIN ROBBINS	3310 W ADDISON ST	CHICAGO	IL	60618	35	4	35-4	17	1006	Retail Food Establishment	775	Retail Sales of Perishable Foods	22949	RENEW		09/15/2011	10/07/2011	N	11/16/2011	11/15/2013	10/07/2011	10/11/2011	AAI			41.946700441	-87.710863582	(41.94670044091673, -87.71086358163326)
23128-20020516	1240445	63414	56	STARBUCKS CORPORATION	STARBUCKS COFFEE #2401	750 N FRANKLIN ST  1	CHICAGO	IL	60610	42	68	42-68	18	1006	Retail Food Establishment	775	Retail Sales of Perishable Foods	23128	RENEW		03/27/2002	05/10/2002	N	05/16/2002	05/15/2003	05/10/2002	05/14/2002	AAI			41.896317588	-87.635840254	(41.89631758778245, -87.63584025366825)
27130-20050216	1558619	53078	1	ANTIQUE COFFE SERVICE INC.	ANTIQUE COFFEE SERVICE INC.	975  CRIIS CIR  1ST	ELK GROVE	IL	60007					1006	Retail Food Establishment	775	Retail Sales of Perishable Foods	27130	RENEW		12/20/2004	03/22/2005	N	02/16/2005	02/15/2006	03/22/2005	05/24/2005	AAI					
23087-20090416	1956372	63414	37	STARBUCKS CORPORATION	STARBUCKS COFFEE #2230	68 E MADISON ST  1ST	CHICAGO	IL	60602	42	9	42-9	1	1006	Retail Food Establishment	775	Retail Sales of Perishable Foods	23087	RENEW		02/17/2009	03/20/2009	N	04/16/2009	04/15/2011	03/20/2009	03/25/2009	AAI			41.882205471	-87.625383771	(41.88220547087969, -87.62538377087225)
1695863-20110416	2082552	303190	1	NADA TEA & COFFEE HOUSE	NADA TEA & COFFEE HOUSE	1552 W FULLERTON AVE 1ST	CHICAGO	IL	60614	32	13	32-13	19	1006	Retail Food Establishment	775	Retail Sales of Perishable Foods	1695863	RENEW		02/15/2011	04/11/2011	N	04/16/2011	04/15/2013	04/11/2011	04/12/2011	AAI			41.925265	-87.66786748	(41.92526500019849, -87.66786747954988)
78136-20050816	1601684	23007	1	BROADWAY ST. DONUTS, INC.	DUNKIN DONUTS	6332 N BROADWAY   1ST	CHICAGO	IL	60660	48	3	48-3	24	1006	Retail Food Establishment	775	Retail Sales of Perishable Foods	78136	RENEW		06/21/2005	08/11/2005	N	08/16/2005	08/15/2006	08/11/2005	08/12/2005	AAI		26	41.997361956	-87.660633043	(41.99736195587988, -87.6606330429187)
66355-20020216	1201920	20486	4	YAMUNA ENTERPRISE, INC	DUNKIN DONUTS	3100 S HALSTED ST # 1ST	CHICAGO	IL	60608	11	5	11-5	9	1006	Retail Food Establishment	775	Retail Sales of Perishable Foods	66355	RENEW		12/20/2001	02/13/2002	N	02/16/2002	02/15/2003	02/13/2002	02/14/2002	AAI			41.837964154	-87.646422712	(41.8379641536515, -87.64642271220065)
1742999-20110516	2086840	308995	1	555 WEST LAKE I, INC.	DUNKIN DONUTS / BASKIN ROBINS	555 W LAKE ST	CHICAGO	IL	60661	42	21	42-21	1	1006	Retail Food Establishment	775	Retail Sales of Perishable Foods	1742999	RENEW		03/15/2011	05/12/2011	N	05/16/2011	05/15/2013	05/13/2011	07/22/2011	AAI			41.885592272	-87.642000294	(41.88559227197418, -87.6420002935186)
23051-20050516	1586488	63414	21	STARBUCKS CORPORATION	STARBUCKS COFFEE #2215	828 N STATE ST  1ST	CHICAGO	IL	60610	2	32	2-32	18	1006	Retail Food Establishment	775	Retail Sales of Perishable Foods	23051	RENEW		03/23/2005	04/21/2005	N	05/16/2005	05/15/2006	04/21/2005	04/22/2005	AAI			41.897542251	-87.628369943	(41.89754225054248, -87.62836994336708)
1520152-20050816	1608076	81494	5	URBAN COFFEE OPPORTUNITIES, LLC	STARBUCKS COFFEE #7948	6451 W DIVERSEY AVE  G11	CHICAGO	IL	60707	36	52	36-52	25	1006	Retail Food Establishment	775	Retail Sales of Perishable Foods	1520152	RENEW		06/21/2005	07/27/2005	N	08/16/2005	08/15/2006	07/27/2005	07/28/2005	AAI			41.930851315	-87.787755655	(41.93085131518802, -87.7877556545619)
1799696-20071130	1799696	313578	1	THE COFFEE STUDIO, LLC	THE COFFEE STUDIO	5628 N CLARK ST 1	CHICAGO	IL	60660	40	33	40-33	20	1006	Retail Food Establishment	775	Retail Sales of Perishable Foods	1799696	ISSUE	01/19/2007	10/18/2007	10/18/2007	N	11/30/2007	08/15/2009	11/29/2007	11/30/2007	AAI		22	41.984384825	-87.669099314	(41.984384824892075, -87.66909931387195)
2020844-20120916	2176352	350844	1	Seva Companies LLC Thompson Food Center	Dunkin Donuts	100 W RANDOLPH ST BASEMENT C-19	CHICAGO	IL	60601	42	9	42-9	1	1006	Retail Food Establishment	775	Retail Sales of Perishable Foods	2020844	RENEW		07/16/2012	07/30/2012	N	09/16/2012	09/15/2014	07/30/2012	07/31/2012	AAI			41.884586267	-87.631010446	(41.88458626715456, -87.63101044588599)
1495422-20070216	1776392	20486	6	YAMUNA ENTERPRISE, INC	DUNKIN DONUTS	749 W 31ST ST	CHICAGO	IL	60616	11	41	11-41	9	1006	Retail Food Establishment	775	Retail Sales of Perishable Foods	1495422	RENEW		12/20/2006	02/05/2007	N	02/16/2007	06/15/2008	02/05/2007	02/06/2007	AAI			41.837941252	-87.645795395	(41.837941251985534, -87.64579539488027)
77690-20010816	1149867	22898	2	STATE STREET DONUTS INC	DUNKIN DONUTS	15 W 95TH ST	CHICAGO	IL	60628	21	23	21-23	5	1006	Retail Food Establishment	775	Retail Sales of Perishable Foods	77690	RENEW		06/22/2001	09/05/2001	N	08/16/2001	08/15/2002	04/12/2002	04/15/2002	AAI			41.721514969	-87.624610166	(41.72151496920398, -87.62461016564234)
1546653-20041223	1546653	284694	1	GOPAL PARTNERS INC	DUNKIN DONUTS	1710 W 18TH ST	CHICAGO	IL	60608	25	19	25-19	12	1006	Retail Food Establishment	775	Retail Sales of Perishable Foods	1546653	ISSUE	11/19/2004	11/22/2004	11/22/2004	N	12/23/2004	02/15/2005	12/22/2004	12/23/2004	AAI			41.857858455	-87.669275561	(41.85785845490005, -87.66927556079463)
25780-20020216	1213057	63563	1	PUROHIT BROTHERS INC	DUNKIN DONUTS/ BASKIN ROBBINS	5050 N CICERO AVE  1	CHICAGO	IL	60630	39	24	39-24	16	1006	Retail Food Establishment	775	Retail Sales of Perishable Foods	25780	RENEW		12/20/2001	02/14/2002	N	02/16/2002	02/15/2003	02/14/2002	02/15/2002	AAI			41.972908241	-87.748061779	(41.9729082412357, -87.74806177870751)
1680146-20110416	2081358	63414	114	STARBUCKS CORPORATION	STARBUCK COFFEE #10366	30 N LA SALLE ST  100B	CHICAGO	IL	60602	42	9	42-9	1	1006	Retail Food Establishment	775	Retail Sales of Perishable Foods	1680146	RENEW		02/15/2011	03/28/2011	N	04/16/2011	04/15/2013	03/28/2011	04/07/2011	AAI			41.882694669	-87.632531427	(41.88269466861121, -87.63253142666058)
23011-20130416	2236357	63414	2	STARBUCKS CORPORATION	STARBUCKS COFFEE #221	400 W MADISON ST  TWO N	CHICAGO	IL	60606	42	21	42-21	1	1006	Retail Food Establishment	775	Retail Sales of Perishable Foods	23011	RENEW		02/27/2013	03/20/2013	N	04/16/2013	04/15/2015	03/20/2013	03/21/2013	AAI			41.882007859	-87.638245404	(41.882007858778465, -87.63824540361531)
1352786-20100916	2045084	86212	3	INTELLIGENTSIA COFFEE & TEA INC.	INTELLIGENTSIA COFFEE & TEA INC.	53 W JACKSON BLVD	CHICAGO	IL	60604	4	49	4-49	1	1006	Retail Food Establishment	775	Retail Sales of Perishable Foods	1352786	RENEW		07/15/2010	09/22/2010	N	09/16/2010	09/15/2012	09/22/2010	09/23/2010	AAI			41.878050681	-87.629781008	(41.878050680824906, -87.62978100842273)
1767598-20130416	2236449	63414	121	STARBUCKS CORPORATION	STARBUCKS COFFEE #9757	1101 S CANAL ST  100	CHICAGO	IL	60607	25	28	25-28	1	1006	Retail Food Establishment	775	Retail Sales of Perishable Foods	1767598	RENEW		02/27/2013	03/20/2013	N	04/16/2013	04/15/2015	03/20/2013	03/21/2013	AAI			41.868889711	-87.639098928	(41.86888971111206, -87.63909892808796)
1823654-20130516	2243683	319252	1	KARDO 1 INC.	DUNKIN DONUTS	4758 W LAKE ST 1	CHICAGO	IL	60644	28	51	28-51	11	1006	Retail Food Establishment	775	Retail Sales of Perishable Foods	1823654	RENEW		03/15/2013	04/26/2013	N	05/16/2013	05/15/2015	04/26/2013	06/28/2013	AAI			41.88671843	-87.745351623	(41.88671842960701, -87.74535162345268)
23126-20040516	1485150	63414	55	STARBUCKS CORPORATION	STARBUCKS COFFEE #2410	130 S CANAL ST  1	CHICAGO	IL	60606	42	12	42-12	1	1006	Retail Food Establishment	775	Retail Sales of Perishable Foods	23126	RENEW		03/17/2004	05/06/2004	N	05/16/2004	05/15/2005	05/06/2004	05/07/2004	AAI			41.879616268	-87.639764523	(41.87961626801739, -87.63976452343368)
32316-20100816	2038262	14507	1	SATELITE INC	DUNKIN DONUTS	2801 S KEDZIE AVE	CHICAGO	IL	60623	12	6	12-6	10	1006	Retail Food Establishment	775	Retail Sales of Perishable Foods	32316	RENEW		06/15/2010	07/27/2010	N	08/16/2010	08/15/2012	07/27/2010	07/28/2010	AAI			41.840814131	-87.704781429	(41.84081413121831, -87.70478142929927)
32316-20070816	1825730	14507	1	SATELITE INC	DUNKIN DONUTS	2801 S KEDZIE AVE	CHICAGO	IL	60623	12	6	12-6	10	1006	Retail Food Establishment	775	Retail Sales of Perishable Foods	32316	RENEW		06/21/2007	09/04/2007	N	08/16/2007	08/15/2008	09/04/2007	09/05/2007	AAI			41.840814131	-87.704781429	(41.84081413121831, -87.70478142929927)
1273761-20050816	1607237	63682	3	ZURI INC	DUNKIN DONUTS	7578 N WESTERN AVE	CHICAGO	IL	60645	50	4	50-4	24	1006	Retail Food Establishment	775	Retail Sales of Perishable Foods	1273761	RENEW		06/21/2005	07/25/2005	N	08/16/2005	08/15/2006	07/29/2005	09/01/2005	AAI			42.019438999	-87.690322022	(42.01943899868734, -87.69032202208334)
1477850-20040414	1477850	273533	1	MARTIN O'BRIEN	OLD IRVING COFFEE EXPRESS	3950 N AVONDALE AVE	CHICAGO	IL	60641	45	10	45-10	17	1006	Retail Food Establishment	775	Retail Sales of Perishable Foods	1477850	ISSUE	02/23/2004	02/23/2004	02/23/2004	N	04/14/2004	08/15/2004	04/13/2004	04/14/2004	AAI			41.952810606	-87.731098276	(41.95281060595293, -87.73109827603336)
1334921-20031116	1428967	22898	3	STATE STREET DONUTS INC	DUNKIN DONUTS	14 W 95TH ST 245 B	CHICAGO	IL	60628	21	55	21-55	6	1006	Retail Food Establishment	775	Retail Sales of Perishable Foods	1334921	RENEW		09/26/2003	10/24/2003	N	11/16/2003	11/15/2004	11/04/2003	11/05/2003	AAI			41.721734965	-87.62457092	(41.72173496527398, -87.62457092033449)
17349-20060816	1720475	7069	1	VISHAL INC	DUNKIN DONUTS	5000 W IRVING PARK RD 1	CHICAGO	IL	60641	45	31	45-31	16	1006	Retail Food Establishment	775	Retail Sales of Perishable Foods	17349	RENEW		06/21/2006	07/18/2006	N	08/16/2006	08/15/2007	07/18/2006	07/19/2006	AAI		28	41.95346817	-87.752305934	(41.95346817003143, -87.75230593409377)
2469520-20160623	2469520	406798	1	DOLLOP MONROE LLC	DOLLOP COFFEE CO	55 W MONROE ST 1ST	CHICAGO	IL	60603	42	9	42-9	1	1006	Retail Food Establishment	782	Sale of Food Prepared Onsite Without Dining Area	2469520	ISSUE	05/24/2016	05/24/2016	06/14/2016	N	06/23/2016	07/15/2018	06/22/2016	06/23/2016	AAI			41.880598955	-87.629907391	(41.880598955013355, -87.62990739051766)
23047-20020516	1240373	63414	20	STARBUCKS CORPORATION	STARBUCKS COFFEE #289	10 S RIVERSIDE PLZ  130	CHICAGO	IL	60606	42	12	42-12	1	1006	Retail Food Establishment	775	Retail Sales of Perishable Foods	23047	RENEW		03/27/2002	05/10/2002	N	05/16/2002	05/15/2003	05/10/2002	05/14/2002	AAI			41.881664289	-87.638887444	(41.881664289382925, -87.63888744408949)
1798368-20121016	2182043	313080	1	FLAMIN' HOT, INC.	KING COFFEE HOUSE & GRILL	6321 S HALSTED ST	CHICAGO	IL	60621	20	13	20-13	7	1006	Retail Food Establishment	775	Retail Sales of Perishable Foods	1798368	RENEW		08/15/2012	10/15/2012	N	10/16/2012	10/15/2014	10/15/2012	10/16/2012	AAI			41.779095341	-87.644624393	(41.779095340968176, -87.6446243933529)
23101-20040516	1485126	63414	43	STARBUCKS CORPORATION	STARBUCKS COFFEE #2286	2475 N LINCOLN AVE  1ST	CHICAGO	IL	60614	43	39	43-39	19	1006	Retail Food Establishment	775	Retail Sales of Perishable Foods	23101	RENEW		03/17/2004	05/06/2004	N	05/16/2004	05/15/2005	05/06/2004	05/07/2004	AAI		35	41.927234066	-87.65104908	(41.92723406625072, -87.65104907991683)
1124102-20020216	1212982	63414	77	STARBUCKS CORPORATION	STARBUCKS COFFEE #2510	414 N ORLEANS ST	CHICAGO	IL	60610	42	67	42-67	18	1006	Retail Food Establishment	775	Retail Sales of Perishable Foods	1124102	RENEW		12/20/2001	03/12/2002	N	02/16/2002	02/15/2003	04/25/2002	04/26/2002	AAI			41.889682961	-87.637120956	(41.889682960687374, -87.63712095614753)
1740805-20090416	1956492	63414	117	STARBUCKS CORPORATION	STARBUCKS COFFEE #10905	1933 W 103RD ST	CHICAGO	IL	60643	19	36	19-36	22	1006	Retail Food Establishment	775	Retail Sales of Perishable Foods	1740805	RENEW		02/17/2009	03/24/2009	N	04/16/2009	04/15/2011	03/24/2009	03/25/2009	AAI		44	41.706454243	-87.670532173	(41.706454243021255, -87.67053217309542)
1740805-20070516	1810628	63414	117	STARBUCKS CORPORATION	STARBUCKS COFFEE #10905	1933 W 103RD ST	CHICAGO	IL	60643	19	36	19-36	22	1006	Retail Food Establishment	775	Retail Sales of Perishable Foods	1740805	RENEW		03/23/2007	05/04/2007	N	05/16/2007	04/15/2009	05/04/2007	05/07/2007	AAI		44	41.706454243	-87.670532173	(41.706454243021255, -87.67053217309542)
2290028-20131009	2290028	368119	7	AFTER HOURS PIZZA, LLC	Beavers Coffee and Donuts	50 W WASHINGTON ST	CHICAGO	IL	60602	42	9	42-9	1	1329	Special Event Food	814	Special Event Food	2290028	ISSUE	10/09/2013	10/09/2013	10/09/2013	N	10/09/2013	10/11/2013	10/09/2013	10/09/2013	AAI			41.883322199	-87.629775097	(41.88332219914999, -87.62977509664286)
40530-20070816	1825978	15970	1	SOMIC INC	DUNKIN DONUTS	7156 N HARLEM AVE 1ST	CHICAGO	IL	60631	41	1	41-1	16	1006	Retail Food Establishment	775	Retail Sales of Perishable Foods	40530	RENEW		06/21/2007	07/16/2007	N	08/16/2007	08/15/2008	07/16/2007	07/17/2007	AAI			42.0116069	-87.80678668	(42.01160690028489, -87.80678668012122)
1767369-20080316	1885362	3090	7	ACE COFFEE BAR, INC.	ACE COFFEE BAR INC.	5001 S MICHIGAN AVE 1	CHICAGO	IL	60615	3	40	3-40	2	1006	Retail Food Establishment	775	Retail Sales of Perishable Foods	1767369	RENEW		01/22/2008	02/25/2008	N	03/16/2008	03/15/2010	02/25/2008	02/26/2008	AAI		52	41.803731033	-87.622545075	(41.80373103300634, -87.62254507514183)
32534-20141116	2356509	89253	2	SHIMURIMA, INC.	DUNKIN DONUTS	1244 N ASHLAND AVE 1ST	CHICAGO	IL	60622	1	25	1-25	14	1006	Retail Food Establishment	775	Retail Sales of Perishable Foods	32534	RENEW		09/15/2014	11/14/2014	N	11/16/2014	11/15/2016	11/14/2014	11/17/2014	AAI		33	41.904523957	-87.66767409	(41.90452395740259, -87.66767409011773)
23130-20050516	1586558	63414	57	STARBUCKS CORPORATION	STARBUCKS COFFEE  #2403	2454 N ASHLAND AVE  1	CHICAGO	IL	60614	32	20	32-20	19	1006	Retail Food Establishment	775	Retail Sales of Perishable Foods	23130	RENEW		03/23/2005	04/21/2005	N	05/16/2005	05/15/2006	04/21/2005	04/22/2005	AAI			41.926806505	-87.668350598	(41.92680650473849, -87.66835059840274)
1986419-20120516	2145806	346151	1	COMBOO ENTERPRISES INC	DUNKIN DONUTS	626 S CLARK ST 1 1	CHICAGO	IL	60605	4	1	4-1	1	1006	Retail Food Establishment	775	Retail Sales of Perishable Foods	1986419	RENEW		03/15/2012	07/10/2012	N	05/16/2012	05/15/2014	07/10/2012	07/13/2012	AAI			41.873996794	-87.630805503	(41.87399679425393, -87.63080550326386)
1801569-20070725	1801569	3530	1	MANNY'S COFFEE SHOP, INC.	MANNYS COFFEE SHOP INC	1141 S JEFFERSON ST 1	CHICAGO	IL	60607	25	28	25-28	1	1475	Consumption on Premises - Incidental Activity	638	Consumption of Liquor on Premises	1801569	ISSUE	02/13/2007	06/15/2007	05/18/2007	N	07/25/2007	05/15/2008	07/25/2007	07/25/2007	AAC	05/20/2016		41.867728804	-87.642058833	(41.8677288042357, -87.64205883259166)
14786-20020816	1264784	85666	2	NSPS INC	DUNKIN DONUTS	4649 S CICERO AVE 1ST	CHICAGO	IL	60632	22	31	22-31	8	1006	Retail Food Establishment	775	Retail Sales of Perishable Foods	14786	RENEW		06/28/2002	08/13/2002	N	08/16/2002	08/15/2003	08/13/2002	08/14/2002	AAI			41.80799862	-87.743012156	(41.80799862039474, -87.74301215645471)
1740685-20130516	2243517	307833	1	SAY DONUTS, INC.	DUNKIN DONUTS / BASKIN ROBINS	782 N LARAMIE AVE 1	CHICAGO	IL	60644	37	41	37-41	15	1006	Retail Food Establishment	775	Retail Sales of Perishable Foods	1740685	RENEW		03/15/2013	05/29/2013	N	05/16/2013	05/15/2015	05/29/2013	07/18/2013	AAC	10/30/2013		41.894835547	-87.755741254	(41.89483554678372, -87.75574125380165)
2437220-20151127	2437220	402582	1	DMM 115TH, LLC	DUNKIN DONUTS/BASKIN ROBBINS	11525 S HALSTED ST 1ST	CHICAGO	IL	60628	34	59	34-59	5	1006	Retail Food Establishment	781	Sale of Food Prepared Onsite With Dining Area	2437220	ISSUE	11/18/2015	11/19/2015	11/19/2015	N	11/27/2015	12/15/2017	11/25/2015	11/27/2015	AAI			41.684249929	-87.641980897	(41.68424992938432, -87.64198089690963)
2013325-20120916	2174412	269046	6	CHICAGOLAND COMMISSARY, LLC	DUNKIN DONUTS	1234 N HALSTED ST 1 1	CHICAGO	IL	60642	27	46	27-46	18	1006	Retail Food Establishment	775	Retail Sales of Perishable Foods	2013325	RENEW		07/16/2012	09/04/2012	N	09/16/2012	09/15/2014	09/04/2012	05/08/2013	AAI			41.904502107	-87.648266868	(41.90450210717989, -87.64826686780404)
1920851-20080718	1920851	305307	3	ET & TT, INC.	SAINT'S ALP TEA HOUSE	2200 S WENTWORTH AVE	CHICAGO	IL	60616	25	14	25-14	9	1329	Special Event Food	814	Special Event Food	1920851	ISSUE	07/16/2008	07/16/2008	07/18/2008	N	07/18/2008	07/20/2008	07/18/2008	07/18/2008	AAI			41.852816682	-87.632155289	(41.852816681705555, -87.6321552891807)
1272459-20060516	1691372	251212	1	CANAL FOODS INC.	DUNKIN DONUTS BASKIN ROBBINS	500 W ROOSEVELT RD  8	CHICAGO	IL	60607	25	28	25-28	1	1006	Retail Food Establishment	775	Retail Sales of Perishable Foods	1272459	RENEW		03/27/2006	04/17/2006	N	05/16/2006	05/15/2007	04/26/2006	04/27/2006	AAI			41.867362693	-87.639293195	(41.867362692616666, -87.63929319464197)
1044031-20050516	1588091	202725	1	LADA SUSHI INC	GREEN TEA JAPANESE RESTAURANT	2206 N CLARK ST	CHICAGO	IL	60614	43	58	43-58	18	1006	Retail Food Establishment	775	Retail Sales of Perishable Foods	1044031	RENEW		03/23/2005	05/02/2005	N	05/16/2005	05/15/2006	05/02/2005	05/26/2005	AAI		23	41.922146046	-87.638545954	(41.922146045915134, -87.63854595404018)
1840781-20141016	2352496	319461	1	RR&A DONUTS, INC.	DUNKIN' DONUTS	406 S MICHIGAN AVE 1	CHICAGO	IL	60605	42	49	42-49	1	1006	Retail Food Establishment	775	Retail Sales of Perishable Foods	1840781	RENEW		08/15/2014	10/09/2014	N	10/16/2014	10/15/2016	10/09/2014	10/14/2014	AAC	01/27/2016		41.876799796	-87.624432335	(41.87679979571103, -87.62443233487531)
77587-20100916	2044129	22862	1	RUBY FOODS INC	DUNKIN DONUTS BASKIN ROBBINS	229 W JACKSON BLVD	CHICAGO	IL	60606	42	49	42-49	1	1006	Retail Food Establishment	775	Retail Sales of Perishable Foods	77587	RENEW		07/15/2010	08/10/2010	N	09/16/2010	09/15/2012	08/10/2010	08/11/2010	AAI			41.878000226	-87.634575017	(41.8780002263814, -87.63457501689527)
1273761-20130816	2265829	63682	3	ZURI INC	DUNKIN DONUTS	7578 N WESTERN AVE	CHICAGO	IL	60645	50	4	50-4	24	1006	Retail Food Establishment	775	Retail Sales of Perishable Foods	1273761	RENEW		06/15/2013	08/14/2013	N	08/16/2013	08/15/2015	08/14/2013	08/15/2013	AAI			42.019438999	-87.690322022	(42.01943899868734, -87.69032202208334)
23116-20090416	1956395	63414	50	STARBUCKS CORPORATION	STARBUCKS COFFEE #2370	1602 N WELLS ST 1 1	CHICAGO	IL	60614	2	4	2-4	18	1006	Retail Food Establishment	775	Retail Sales of Perishable Foods	23116	RENEW		02/17/2009	03/24/2009	N	04/16/2009	04/15/2011	03/24/2009	03/25/2009	AAI		48	41.911255209	-87.634860726	(41.91125520897576, -87.63486072587239)
23045-20070516	1810474	63414	19	STARBUCKS CORPORATION	STARBUCKS COFFEE #236	39 W DIVISION ST 1ST	CHICAGO	IL	60610	2	36	2-36	18	1006	Retail Food Establishment	775	Retail Sales of Perishable Foods	23045	RENEW		03/23/2007	05/04/2007	N	05/16/2007	04/15/2009	05/04/2007	05/07/2007	AAI			41.903812639	-87.630056903	(41.903812639001785, -87.63005690305373)
38856-20061116	1746497	15717	2	DAT ENTERPRISE INC	DAT DONUT	8251 S COTTAGE GROVE AVE	CHICAGO	IL	60619	8	14	8-14	6	1006	Retail Food Establishment	775	Retail Sales of Perishable Foods	38856	RENEW		09/20/2006	11/15/2006	N	11/16/2006	11/15/2007	11/15/2006	11/15/2006	AAI		51	41.744290285	-87.604896238	(41.744290285289146, -87.60489623776338)
1914075-20140716	2331500	332979	1	VITHAL DONUTS, INC.	DUNKIN DONUTS	120 W 87TH ST 1ST	CHICAGO	IL	60620	21	37	21-37	6	1006	Retail Food Establishment	775	Retail Sales of Perishable Foods	1914075	RENEW		05/15/2014	05/29/2014	N	07/16/2014	07/15/2016	05/29/2014	05/30/2014	AAI			41.736380202	-87.627699235	(41.73638020184098, -87.62769923470614)
1737682-20120116	2127947	306409	1	NRN 52 WESTERN INC.	DUNKIN DONUTS	2340 W 52ND ST	CHICAGO	IL	60609	15	13	15-13	9	1006	Retail Food Establishment	775	Retail Sales of Perishable Foods	1737682	RENEW		11/15/2011	01/03/2012	N	01/16/2012	01/15/2014	01/03/2012	01/04/2012	AAI			41.798937536	-87.683516382	(41.79893753637153, -87.68351638236892)
1842575-20100416	2019938	295236	2	RIVER FOODS ENTERPRISES LLC.	DUNKIN DONUTS	27 E LAKE ST 1ST FLOOR 1	CHICAGO	IL	60601	42	9	42-9	1	1006	Retail Food Establishment	775	Retail Sales of Perishable Foods	1842575	RENEW		02/11/2010	02/26/2010	N	04/16/2010	04/15/2012	02/26/2010	03/02/2010	AAI		1	41.885642588	-87.626930025	(41.88564258759103, -87.62693002456231)
15491-20030216	1321205	85681	1	PLATINUM FOODS INC	DUNKIN DONUTS	39 W JACKSON BLVD	CHICAGO	IL	60604	4	49	4-49	1	1006	Retail Food Establishment	775	Retail Sales of Perishable Foods	15491	RENEW		12/17/2002	01/23/2003	N	02/16/2003	02/15/2004	01/23/2003	04/07/2003	AAI			41.878057652	-87.629268945	(41.87805765240321, -87.62926894464043)
1118873-20050516	1586581	63414	74	STARBUCKS CORPORATION	STARBUCKS COFFEE #2491	1900 W MONTROSE AVE	CHICAGO	IL	60613	47	10	47-10	19	1006	Retail Food Establishment	775	Retail Sales of Perishable Foods	1118873	RENEW		03/23/2005	04/21/2005	N	05/16/2005	05/15/2006	04/21/2005	04/22/2005	AAI		31	41.961603816	-87.67607883	(41.96160381583514, -87.6760788298814)
74790-20090316	1950900	65199	1	GUL FOODS INC	DUNKIN DONUTS / BASKIN ROBBINS	4045 W LAWRENCE AVE 1ST	CHICAGO	IL	60630	39	21	39-21	17	1006	Retail Food Establishment	775	Retail Sales of Perishable Foods	74790	RENEW		01/15/2009	02/23/2009	N	03/16/2009	03/15/2011	02/23/2009	02/24/2009	AAI			41.968111787	-87.729867883	(41.96811178658088, -87.72986788251535)
79820-20011116	1178489	23302	1	NRN 11 INC	DUNKIN DONUTS	3214 W 87TH ST	CHICAGO	IL	60652	18	9	18-9	8	1006	Retail Food Establishment	775	Retail Sales of Perishable Foods	79820	RENEW		10/03/2001	11/27/2001	N	11/16/2001	11/15/2002	01/08/2002	01/09/2002	AAI			41.735289128	-87.702581068	(41.7352891275082, -87.7025810676121)
1273761-20060816	1727379	63682	3	ZURI INC	DUNKIN DONUTS	7578 N WESTERN AVE	CHICAGO	IL	60645	50	4	50-4	24	1006	Retail Food Establishment	775	Retail Sales of Perishable Foods	1273761	RENEW		06/21/2006	08/18/2006	N	08/16/2006	08/15/2007	08/18/2006	08/21/2006	AAI			42.019438999	-87.690322022	(42.01943899868734, -87.69032202208334)
1044813-20061116	1745243	7658	2	SHAYAN INC	DUNKIN' DONUTS	171 W VAN BUREN ST	CHICAGO	IL	60605	25	49	25-49	1	1006	Retail Food Establishment	775	Retail Sales of Perishable Foods	1044813	RENEW		09/20/2006	10/28/2006	N	11/16/2006	11/15/2007	10/28/2006	10/30/2006	AAI			41.876752107	-87.633134338	(41.87675210714043, -87.63313433761056)
1817656-20090416	1956506	63414	124	STARBUCKS CORPORATION	STARBUCKS COFFEE #11751	2357 W HOWARD ST 1ST	CHICAGO	IL	60645	49	41	49-41	24	1006	Retail Food Establishment	775	Retail Sales of Perishable Foods	1817656	RENEW		02/17/2009	03/24/2009	N	04/16/2009	04/15/2011	03/24/2009	03/25/2009	AAI			42.019420972	-87.690025078	(42.01942097243519, -87.69002507760582)
